Name,Code,Axiis,D3js,Dundas (Free),Flare,Highcharts,Infoviz,Protoviz,Raphael
Portability,#7cb109,4,8,8,5,7,9,4,9
Scalability,#01692c,5,7,7,7,6,6,7,7
Maturity,#008b54,3,8,7,8,6,8,7,7
Extensibility,#008b54,6,9,6,7,5,8,8,6
Customization,#016fac,4,8,4,8,8,7,7,8
Availability of Charts,#535ca9,5,9,5,7,6,6,7,6
Documnatation,#d0281d,7,6,5,5,9,4,5,6
Look and Feel,#ff9934,9,8,3,6,8,8,6,7
Usability,#ec6c3f,8,8,3,7,8,7,8,6
Overall Score,#da2a50,7,9,5,8,7,8,8,7
